นิวยอร์ก,new-yɔ̂ɔk
อุปกรณ์ไฟฟ้า,ùp-pa-kɔɔn-fay-fáa
อุปกรณ์เชิงกล,ùp-pa-kɔɔn-chəəŋ-kon
อุปกรณ์,ùp-pa-kɔɔn
อุปการี,ùp-pa-kaa-rii
อุปการะคุณ,ùp-pà-kaa-rá-khun
อุปการะ,ùp-pà-kaa-rá
อุปการ,ùp-pa-kaan
อุบอิบ,ùp-ìp
อุปัทวันตราย,ù-pàt-tha-wan-ta-raay
อุปัฏฐาก,ù-pàt-thàak
อุปมาโวหาร,ù-pa-maa-woo-hǎan
อุปกรม,ù-pa-krom
อุปกรณ์ควบคุม,ù-pa-kɔɔn-khûap-khum
อุปกิเลส,ù-pa-kì-lèet
อุปจาร,ù-pa-caan
อุปาทาน,ù-paa-thaan
อุป,ù-pà
อุบ,ùp
อุ่นๆ,ùn-ùn
อุ่นหนาฝาคั่ง,ùn-nǎa-fǎa-khâŋ
อุ่นเครื่อง,ùn-khrʉ̂aŋ
อุณหภูมิ,un-ha-phuum
อุ้งเท้า,ûŋ-tháaw
อุ้งมือ,ûŋ-mʉʉ
อุ้ง,ûŋ
อุ่นใจ,ùn-cay
อุณาโลม,ù-naa-loom
อุณา,ù-naa
อุ่น,ùn
อุ้มท้อง,ûm-thɔ́ɔŋ
อุ้มสม,ûm-sǒm
อุโมงค์ใต้ดิน,ù-mooŋ-tây-din
อุโมงค์,ù-mooŋ
อุ้มน้ำ,ûm-náam
อุ้มชู,ûm-chuu
อุ้มบาตร,ûm-bàat
อุมา,ù-maa
อุ้ม,ûm
อุกฤษฏ์,ù-krìt
อุกกาบาต,ùk-kaa-bàat
อุโฆษ,ù-khôot
อุกฉกรรจ์,ùk-cha-kan
อุกอาจ,ùk-àat
อุก,ùk
อุเหม่,ù-hěe
อุดรธานี,ù-dɔɔn-thaa-nii
อุดร,ù-dɔɔn
อุดมสมบูรณ์,ù-dom-sǒm-buun
อุดมศึกษา,ù-dom-sʉ̀k-sǎa
อุดมคตินิยม,ù-dom-ma-kha-tì-ní-yom
อุดมคติ,ù-dom-kha-tì
อุดมการณ์ทางการเมือง,ù-dom-kaan-thaaŋ-kaan-mʉaŋ
อุดมการณ์,ù-dom-kaan
อุดม,ù-dom
อุจาด,ù-càat
อุโบสถกรรม,ù-boo-sòt-tha-kam
อุโบสถ,ù-boo-sòt
อุบลราชธานี,ù-bon-râat-cha-thaa-nii
อุบัติภัย,ù-bàt-tì-phay
อุบัติการณ์,ù-bàt-tì-kaan
อุบัติเหตุ,ù-bàt-tì-hèet
อุบัติ,ù-bàt
อุบาย,ù-baay
อุบาท,ù-bàat
อุบาทว์,ù-bàat
อุบาสก,ù-baa-sòk
อุบาสิกา,ù-baa-sì-kaa
อวยพร,uay-phɔɔn
อวยชัยให้พร,uay-chay-hây-phɔɔn
อวยชัย,uay-chay
อวย,uay
อวดตัว,ùat-tua
อวดโต,ùat-too
อวดรู้,ùat-rúu
อวดรวย,ùat-ruay
อวดภูมิ,ùat-phuum
อวดโก้,ùat-kôo
อวดกล้า,ùat-klâa
อวดเก่ง,ùat-kèŋ
อวดดี,ùat-dii
อวดอ้าง,ùat-âaŋ
อวด,ùat
อวบอ้วน,ùap-ûan
อวบน้ำ,ùap-náam
อวบอัด,ùap-àt
อวบอั๋น,ùap-ǎn
อวบ,ùap
อ้วนท้วน,ûan-thûan
อวนลอย,uan-lɔɔy
อวนลาก,uan-lâak
อ้วนจ้ำม่ำ,ûan-câm-mâm
อ้วน,ûan
อวล,uan
อวน,uan
อ่วม,ùam
อ้วก,ûak
ชรัว,ua
ตุ้ยๆ,tûy-tûy
ตุ่ยๆ,tùy-tùy
ตุ้ยนุ้ย,tûy-núy
ตุ่ย,tùy
ตุ๊ย,túy
ตู้เย็น,tûu-yen
ตู้ยาม,tûu-yaam
ตู้ยา,tûu-yaa
ตู่ตัว,tùu-tua
ตูดปอด,tùut-pɔ̀ɔt
ตู้โทรศัพท์,tûu-thoo-ra-sàp
ตูด,tùut
ตู้เซฟ,tûu-séep
ตู้เสื้อผ้า,tûu-sʉ̂a-phâa
ตู้ไปรษณีย์,tûu-pray-sa-nii
ตู้ปลา,tûu-plaa
ตู่พุทธพจน์,tùu-phút-tha-phót
ตู้พระมาลัย,tûu-phrá-maa-lay
ตูบ,tùup
ตู้นิรภัย,tûu-ní-ra-phay
ตู้หนังสือ,tûu-naŋ-sʉ̌ʉ
ตูมตาม,tuum-taam
ตูม,tuum
ตู้กระจก,tûu-krà-còk
ตู้เก็บเอกสาร,tûu-kèp-èek-ka-sǎan
ตูก,tùuk
ตู้เอทีเอ็ม,tûu-ee-thii-em
ตู้จดหมาย,tûu-còt-mǎay
ตู้,tûu
ตู่,tùu
ตุๆ,tù-tù
ตุ๊ต๊ะ,tú-tá
ตุ๊ด,tút
ตุริยางค์,tù-rí-yaaŋ
ตุหรัดตุเหร่,tù-ràt-tù-lèe
ตุรกี,tù-ra-kii
ตุบๆ,tùp-tùp
ตุ๊บป่อง,túp-pɔ̀ŋ
ตุปัดตุป่อง,tù-pàt-tù-pɔ̀ŋ
ตุปัดตุเป๋,tù-pàt-tù-pěe
ตุ้งติ้ง,tûŋ-tîŋ
ตุง,tuŋ
ตุนาหงัน,tù-naa-ŋǎn
ตุ๋น,tǔn
ตุ่น,tùn
ตุล,tun
ตุน,tun
ตุ้มน้ำหนัก,tûm-náam-nàk
ตุ้มมะพร้าว,tûm-má-phráaw
ตุ้มหู,tûm-hǔu
ตุ้ม,tûm
ตุ่ม,tùm
ตุลาคม,tù-laa-khom
ตุลาการ,tù-laa-kaan
ตุ๊กๆ,túk-túk
ตุ๊กตุ๊ก,túk-túk
ตุกติก,tùk-tìk
ตุ๊กติ๊ก,túk-tík
ตุ๊กแก,túk-kɛɛ
ตุ๊กตุ่น,túk-ka-tùn
ตุ๊กต่ำ,túk-ka-tàm
ตุ๊กตาเสียกบาล,túk-ka-taa-sǐa-ka-baan
ตุ๊กตาล้มลุก,túk-ka-taa-lóm-lúk
ตุ๊กตา,túk-ka-taa
ตัวยุ่ง,tua-yûŋ
ตัวย่อ,tua-yɔ̂ɔ
ตัวยง,tua-yoŋ
ตัวยืน,tua-yʉʉn
ตัวยับยั้ง,tua-yáp-yáŋ
ตัวอย่างสินค้า,tua-yàaŋ-sǐn-kháa
ตัวอย่างเช่น,tua-yàaŋ-chên
ตัวอย่าง,tua-yàaŋ
ตัวตุ่น,tua-tùn
ตัวตรง,tua-troŋ
ตัวต่อตัว,tua-tɔ̀ɔ-tua
ตัวต่อ,tua-tɔ̀ɔ
ตัวตน,tua-ton
ตัวถ่วง,tua-thùaŋ
ตัวแทนโฆษณา,tua-thɛɛn-khôot-sa-naa
ตัวแทนค้าต่าง,tua-thɛɛn-kháa-tàaŋ
ตัวแทนช่วง,tua-thɛɛn-chûaŋ
ตัวแทนเชิด,tua-thɛɛn-chə̂ət
ตัวแทนจำหน่าย,tua-thɛɛn-cam-nàay
ตัวแทน,tua-thɛɛn
ตัวถัง,tua-thǎŋ
ตัวทำละลาย,tua-tham-lá-laay
ตัวเต็ง,tua-teŋ
ตัวตั้งตัวตี,tua-tâŋ-tua-tii
ตัวตั้ง,tua-tâŋ
ตัวตลก,tua-ta-lòk
ตัวตายตัวแทน,tua-taay-tua-thɛɛn
ตัวส่ง,tua-sòŋ
ตัวแสบ,tua-sɛ̀ɛp
ตั๋วสัญญาใช้เงิน,tǔa-sǎn-yaa-cháy-ŋən
ตัวสั่น,tua-sàn
ตัวสำรอง,tua-sǎm-rɔɔŋ
ตัวสะกด,tua-sà-kòt
ตัวแสดง,tua-sa-dɛɛŋ
ตัวสื่อ,tua-sʉ̀ʉ
ตั๋วรถไฟ,tǔa-rót-fay
ตัวร้อน,tua-rɔ́ɔn
ตัวเร่ง,tua-rêŋ
ตัวเรา,tua-raw
ตัวรับแสง,tua-ráp-sɛ̌ɛŋ
ตัวรับ,tua-ráp
ตัวเรือน,tua-rʉan
ตัวแปร,tua-prɛɛ
ตัวประกอบ,tua-prà-kɔ̀ɔp
ตัวประกัน,tua-prà-kan
ตัวแปลภาษา,tua-plɛɛ-phaa-sǎa
ตัวเปล่า,tua-plàaw
ตัวผู้,tua-phûu
ตัวพระ,tua-phrá
ตั้วโผ,tûa-phǒo
ตัวพิมพ์,tua-phim
ตัวเป็นเกลียว,tua-pen-kliaw
ตั๋วไปกลับ,tǔa-pay-klàp
ตัวปัญหา,tua-pan-hǎa
ตัวอ่อน,tua-ɔ̀ɔn
ตัวโน้ต,tua-nóot
ตัวเงินตัวทอง,tua-ŋən-tua-thɔɔŋ
ตั๋วเงินคลัง,tǔa-ŋən-khlaŋ
ตั๋วเงิน,tǔa-ŋən
ตัวเงิน,tua-ŋən
ตวง,tuaŋ
ตัวหนังสือ,tua-naŋ-sʉ̌ʉ
ตั๋วหนัง,tǔa-nǎŋ
ตัวนำยิ่งยวด,tua-nam-yîŋ-yûat
ตัวนำ,tua-nam
ตัวนาง,tua-naaŋ
ต่วน,tùan
ต้วมเตี้ยม,tûam-tîam
ตัวเมีย,tua-mia
ตัวใหม่,tua-mày
ตัวเมือง,tua-mʉaŋ
ตัวไม้,tua-máay
ตัวเล็ก,tua-lék
ตั๋วแลกเงิน,tǔa-lɛ̂ɛk-ŋən
ตัวเลข,tua-lêek
ตัวละครเอก,tua-lá-khɔɔn-èek
ตัวละคร,tua-lá-khɔɔn
ตัวหลัก,tua-làk
ตัวเลือก,tua-lʉ̂ak
ตัวกระตุ้น,tua-krà-tûn
ตัวกระทำ,tua-krà-tham
ตัวโกง,tua-kooŋ
ตัวกลั่น,tua-klàn
ตัวกลาง,tua-klaaŋ
ตัวคูณร่วมน้อย,tua-khuun-rûam-nɔ́ɔy
ตัวคูณ,tua-khuun
ตัวควบคุม,tua-khûap-khum
ตัวใครตัวมัน,tua-khray-tua-man
ตัวเขียน,tua-khǐan
ตัวเก็บข้อมูล,tua-kèp-khɔ̂ɔ-muun
ตัวเก็ง,tua-keŋ
ตัวเก๋า,tua-kǎw
ตัวกันชน,tua-kan-chon
ตัวกำหนด,tua-kam-nòt
ตัวการ,tua-kaan
ตัวอิจฉา,tua-ìt-chǎa
ตัวหารร่วมมาก,tua-hǎan-rûam-mâak
ตัวหาร,tua-hǎan
ตัวเอง,tua-eeŋ
ตัวเอก,tua-èek
ตัวดี,tua-dii
ตัวดำเนินการ,tua-dam-nəən-kaan
ตัวโจ๊ก,tua-cóok
ตัวจริง,tua-ciŋ
ตัวจี๊ด,tua-cíit
ตัวชี้นำ,tua-chíi-nam
ตัวเชิด,tua-chə̂ət
ตัวเชื่อม,tua-chʉ̂am
ตัวฉกาจ,tua-cha-kàat
ตั๋วจำนำ,tǔa-cam-nam
ตัวจำนำ,tua-cam-nam
ตัวบทกฎหมาย,tua-bòt-kòt-mǎay
ตัวบท,tua-bòt
ตัวบ่งชี้,tua-bòŋ-chíi
ตัวเบียน,tua-bian
ตัวเบา,tua-baw
ตัวบรรจง,tua-ban-coŋ
ตัวอักษร,tua-àk-sɔ̌ɔn
ตัวอาคาร,tua-aa-khaan
ตั๋ว,tǔa
ตัว,tua
ตุ,tù
ตุ๊,tú
ตึดตื๋อ,tʉ̀t-tʉ̌ʉ
อึ้ดทึ่ด,ʉ́t-thʉ̂t
ตืด,tʉ̀ʉt
ตรู่,trùu
ตรู,truu
ตรุษจีน,trùt-ciin
ตรุษ,trùt
ตรวจวัด,trùat-wát
ตรวจตรา,trùat-traa
ตรวจทาน,trùat-thaan
ตรวจสอบ,trùat-sɔ̀ɔp
ตรวจโรค,trùat-rôok
ตรวจรับ,trùat-ráp
ตรวจราชการ,trùat-râat-cha-kaan
ตรวจร่างกาย,trùat-râaŋ-kaay
ตรวจงาน,trùat-ŋaan
ตรวจเลือด,trùat-lʉ̂at
ตรวจค้น,trùat-khón
ตรวจข่าว,trùat-khàaw
ตรวจแก้,trùat-kɛ̂ɛ
ตรวจการ,trùat-kaan
ตรวจหา,trùat-hǎa
ตรวจฟัง,trùat-faŋ
ตรวจดู,trùat-duu
ตรวจชำระ,trùat-cham-rá
ตรวจจับ,trùat-càp
ตรวจ,trùat
ตรวน,truan
ตรุ,trù
ตรอง,trɔɔŋ
ตรอมตรม,trɔɔm-trom
ตรอมใจ,trɔɔm-cay
ตรอม,trɔɔm
ตรอก,trɔ̀ɔk
โตรก,tròok
ตรงเวลา,troŋ-wee-laa
ตรงตัว,troŋ-tua
ตรงๆ,troŋ-troŋ
ตรงต่อเวลา,troŋ-tɔ̀ɔ-wee-laa
ตรงประเด็น,troŋ-prà-den
ตรงเผง,troŋ-phěeŋ
ตรงไปตรงมา,troŋ-pay-troŋ-maa
ตรงเป้า,troŋ-pâw
ตรงนี้,troŋ-níi
ตรงไหน,troŋ-nǎy
ตรงนั้น,troŋ-nán
ตรงหน้า,troŋ-nâa
ตรงกลาง,troŋ-klaaŋ
ตรงข้าม,troŋ-khâam
ตรงกันข้าม,troŋ-kan-khâam
ตรงกัน,troŋ-kan
ตรงดิ่ง,troŋ-dìŋ
ตรงจุด,troŋ-cùt
ตรง,troŋ
ตรมใจ,trom-cay
ตรม,trom
ตรึงตรา,trʉŋ-traa
ตรึงตาตรึงใจ,trʉŋ-taa-trʉŋ-cay
ตรึงตา,trʉŋ-taa
ตรึงราคา,trʉŋ-raa-khaa
ตรึงใจ,trʉŋ-cay
ตรึง,trʉŋ
ตรึม,trʉm
ตรึกตรอง,trʉ̀k-trɔɔŋ
ตรึก,trʉ̀k
ตริตรอง,trì-trɔɔŋ
ตฤณมัย,trin-na-may
ตรีทูต,trii-thûut
ตรีโทษ,trii-thôot
ตรีศูล,trii-sǔun
ตรีศก,trii-sòk
ตรีสมุตถาน,trii-sa-mùt-thǎan
ตรีรัตน์,trii-rát
ตรีประดับ,trii-prà-dàp
ตรีภูมิ,trii-phuum
ตรีภพ,trii-phóp
ตรีโลก,trii-lôok
ตรีโกณมิติ,trii-koon-mí-tì
ตรีโกณ,trii-koon
ตรีคูณ,trii-khuun
ตรีจีวร,trii-cii-wɔɔn
ตรี,trii
เตรียมอุดมศึกษา,triam-ù-dom-sʉ̀k-sǎa
เตรียมตัว,triam-tua
เตรียมตรม,triam-trom
เตรียมรับมือ,triam-ráp-mʉʉ
เตรียมประถม,triam-prà-thǒm
เตรียมพร้อม,triam-phrɔ́ɔm
เตรียมการ,triam-kaan
เตรียมใจ,triam-cay
เตรียม,triam
ตริ,trì
เตร็ดเตร่,trèt-trèe
แตรวงโยธวาทิต,trɛɛ-woŋ-yoo-tha-waa-thít
แตรวง,trɛɛ-woŋ
แตรรถยนต์,trɛɛ-rót-yon
แตรงอน,trɛɛ-ŋɔɔn
แตรลำโพง,trɛɛ-lam-phooŋ
แตรฝรั่ง,trɛɛ-fa-ràŋ
แตรฟันฟาร์,trɛɛ-fan-faa
แตรเดี่ยว,trɛɛ-dìaw
แตร,trɛɛ
เตร่,trèe
ไตรยางศ์,tray-yaaŋ
ไตรวิชชา,tray-wít-chaa
ไตร่ตรอง,trày-trɔɔŋ
ตรัยตรึงศ์,tray-trʉŋ
ไตรทศ,tray-thót
ไตรสิกขา,tray-sìk-khǎa
ไตรสรณคมน์,tray-sa-ra-na-khom
ไตรรงค์,tray-roŋ
ไตรรัตน์,tray-rát
ไตรปิฎก,tray-pì-dòk
ไตรภูมิ,tray-phuum
ไตรภพ,tray-phóp
ไตรเพท,tray-phêet
ไตรภาคี,tray-phaa-khii
ไตรมาส,tray-mâat
ไตรโลก,tray-lôok
ไตรจีวร,tray-cii-wɔɔn
ไตรจักร,tray-càk
ไตร,tray
ตรัย,tray
ตระเว็ด,trà-wét
ตระเวนวัน,trà-ween-wan
ตระเวนไพร,trà-ween-phray
ตระเวน,trà-ween
ตรัสรู้,tràt-sa-rúu
ตระเตรียม,trà-triam
ตรัส,tràt
ตระปุ่มตระป่ำ,trà-pùm-trá-pàm
ตระพอง,trà-phɔɔŋ
ตระพัง,trà-phaŋ
ตรับฟัง,tràp-faŋ
ตระหนกตกใจ,trà-nòk-tòk-cay
ตระหนก,trà-nòk
ตระหนี่ตัว,trà-nìi-tua
ตระหนี่ถี่เหนียว,trà-nìi-thìi-nǐaw
ตระหนี่,trà-nìi
ตระหง่าน,trà-ŋàan
ตรัง,traŋ
ตระหน่ำ,trà-nàm
ตระหนักถึง,trà-nàk-thʉ̌ŋ
ตระหนักแน่,trà-nàk-nɛ̂ɛ
ตระหนัก,trà-nàk
ตรำ,tram
ตระกูล,trà-kuun
ตระกอง,trà-kɔɔŋ
ตระกล,trà-kon
ตระการตา,trà-kaan-taa
ตระการ,trà-kaan
ตระบอง,trà-bɔɔŋ
ตระบัดสัตย์,trà-bàt-sàt
ตระบัด,trà-bàt
ตรายาง,traa-yaaŋ
ตราตรึงใจ,traa-trʉŋ-cay
ตราตรึง,traa-trʉŋ
ตราตั้ง,traa-tâŋ
ตราด,tràat
ตราสิน,traa-sǐn
ตราสัง,traa-sǎŋ
ตราสาร,traa-sǎan
ตราบที่,tràap-thîi
ตราบเท่าที่,tràap-thâw-thîi
ตราบเท่า,tràap-thâw
ตราไปรษณียากร,traa-pray-sa-nii-yaa-kɔɔn
ตราประทับ,traa-prà-tháp
ตราภูมิ,traa-phuum
ตราบใดที่,tràap-day-thîi
ตราบใด,tràap-day
ตราบจนกระทั่ง,tràap-con-krà-thâŋ
ตราบ,tràap
ตราหน้า,traa-nâa
ตรากตรำ,tràak-tram
ตรากฎหมาย,traa-kòt-mǎay
ตราขุนพล,traa-khǔn-phon
ตราชู,traa-chuu
ตราชั่ง,traa-châŋ
ตราบาป,traa-bàap
ตรา,traa
ตระ,trà
ต่อยหอย,tɔ̀y-hɔ̌ɔy
ต่อย,tɔ̀y
โต๊ะทำงาน,tó-tham-ŋaan
โต๋เต๋,tǒo-těe
เตาะแตะ,tɔ̀-tɛ̀
ตด,tòt
ตบท้าย,tòp-tháay
ตบเท้า,tòp-tháaw
ตบแต่ง,tòp-tɛ̀ŋ
ตบตา,tòp-taa
โต๊ะประชุม,tó-prà-chum
ตบแผละ,tòp-phlɛ̌
ตบหน้า,tòp-nâa
ตบมือ,tòp-mʉʉ
ตบหลัง,tòp-lǎŋ
ตบ,tòp
ต้อยๆ,tɔ̂ɔy-tɔ̂ɔy
ต้อยต่ำ,tɔ̂ɔy-tàm
โต้แย้ง,tôo-yɛ́ɛŋ
ตอแย,tɔɔ-yɛɛ
ต่อเวลา,tɔ̀ɔ-wee-laa
ต่อว่าต่อขาน,tɔ̀ɔ-wâa-tɔ̀ɔ-khǎan
โต้วาที,tôo-waa-thii
ต่อว่า,tɔ̀ɔ-wâa
ต่อตัว,tɔ̀ɔ-tua
โต้ตอบ,tôo-tɔ̀ɔp
ต่อตี,tɔ̀ɔ-tii
ต่อโทรศัพท์,tɔ̀ɔ-thoo-ra-sàp
โต้เถียง,tôo-thǐaŋ
ต่อท้าย,tɔ̀ɔ-tháay
ต่อแต่นี้ไป,tɔ̀ɔ-tɛ̀ɛ-níi-pay
ต่อแต้ม,tɔ̀ɔ-tɛ̂ɛm
ต่อเติม,tɔ̀ɔ-təəm
ต่อต้าน,tɔ̀ɔ-tâan
ต่อตาม,tɔ̀ɔ-taam
ต่อตา,tɔ̀ɔ-taa
ตอด,tɔ̀ɔt
ต่อสู้,tɔ̀ɔ-sûu
ต่อสัญญา,tɔ̀ɔ-sǎn-yaa
โต้รุ่ง,tôo-rûŋ
ต่อรถ,tɔ̀ɔ-rót
ต่อรองราคา,tɔ̀ɔ-rɔɔŋ-raa-khaa
ต่อรอง,tɔ̀ɔ-rɔɔŋ
ต่อราคา,tɔ̀ɔ-raa-khaa
ต่อเรือ,tɔ̀ɔ-rʉa
ตอบโต้,tɔ̀ɔp-tôo
ตอบแทน,tɔ̀ɔp-thɛɛn
ตอบสนอง,tɔ̀ɔp-sa-nɔ̌ɔŋ
ตอบรับ,tɔ̀ɔp-ráp
ตอบกลับ,tɔ̀ɔp-klàp
ตอบคำถาม,tɔ̀ɔp-kham-thǎam
ตอร์ปิโด,tɔɔ-pì-doo
โต้โผ,tôo-phǒo
ต่อไปนี้,tɔ̀ɔ-pay-níi
ต่อไป,tɔ̀ɔ-pay
ต่อปากต่อคำ,tɔ̀ɔ-pàak-tɔ̀ɔ-kham
ต่อปากหลากคำ,tɔ̀ɔ-pàak-làak-kham
ต่อปาก,tɔ̀ɔ-pàak
ตอบ,tɔ̀ɔp
ตอนเย็น,tɔɔn-yen
ตอนต้น,tɔɔn-tôn
ตอนที่,tɔɔn-thîi
ตอนเที่ยง,tɔɔn-thîaŋ
ตอนท้าย,tɔɔn-tháay
ตอนสำคัญ,tɔɔn-sǎm-khan
ตอนสาย,tɔɔn-sǎay
ตอนแรก,tɔɔn-rɛ̂ɛk
ต้อนรับขับสู้,tɔ̂ɔn-ráp-khàp-sûu
ต้อนรับ,tɔ̂ɔn-ráp
ตอนปลาย,tɔɔn-plaay
ตอนนี้,tɔɔn-níi
ตอนนั้น,tɔɔn-nán
ตอนเหนือ,tɔɔn-nʉ̌a
ตอนหลัง,tɔɔn-lǎŋ
ตอนกลางวัน,tɔɔn-klaaŋ-wan
ตอนกลางคืน,tɔɔn-klaaŋ-khʉʉn
ตอนกลาง,tɔɔn-klaaŋ
ตอนกิ่ง,tɔɔn-kìŋ
ตอนค่ำ,tɔɔn-khâm
ต่อนี้ไป,tɔ̀ɔ-níi-pay
โตงๆ-เตงๆ,tooŋ-tooŋ-teeŋ-teeŋ
โต้งๆ,tôoŋ-tôoŋ
โตงเตง,tooŋ-teeŋ
โต้ง,tôoŋ
ตอนดึก,tɔɔn-dʉ̀k
ตอนจบ,tɔɔn-còp
ตอนเช้า,tɔɔn-cháaw
ตอนบ่าย,tɔɔn-bàay
ต่อนัดต่อแนง,tɔ̀ɔ-nát-tɔ̀ɔ-nɛɛŋ
ต่อเนื่อง,tɔ̀ɔ-nʉ̂aŋ
ต่อหน้าต่อตา,tɔ̀ɔ-nâa-tɔ̀ɔ-taa
ต่อหน้าธารกำนัล,tɔ̀ɔ-nâa-thaa-ra-kam-nan
ต่อหน้า,tɔ̀ɔ-nâa
ต้อเนื้อ,tɔ̂ɔ-nʉ́a
ต้อน,tɔ̂ɔn
ตอน,tɔɔn
โตมร,too-mɔɔn
ตอม่อ,tɔɔ-mɔ̂ɔ
ต่อไม่ติด,tɔ̀ɔ-mây-tìt
ต่อมา,tɔ̀ɔ-maa
ต่อเมื่อ,tɔ̀ɔ-mʉ̂a
ตอม,tɔɔm
ตอหลดตอแหล,tɔɔ-lòt-tɔɔ-lɛ̌ɛ
ต่อล้อต่อเถียง,tɔ̀ɔ-lɔ́ɔ-tɔ̀ɔ-thǐaŋ
ต้อลิ้นหมา,tɔ̂ɔ-lín-mǎa
โตเล่นหาง,too-lên-hǎaŋ
ตอแหล,tɔɔ-lɛ̌ɛ
ต้อลำไย,tɔ̂ɔ-lam-yay
ตอกย้ำ,tɔ̀ɔk-yám
ต้อกระจก,tɔ̂ɔ-krà-còk
ต่อกร,tɔ̀ɔ-kɔɔn
ตอกหน้า,tɔ̀ɔk-nâa
โต้กลับ,tôo-klàp
ตอกกลับ,tɔ̀ɔk-klàp
ต่อกิ่ง,tɔ̀ɔ-kìŋ
โตเกียว,too-kiaw
ต่อความยาวสาวความยืด,tɔ̀ɔ-khwaam-yaaw-sǎaw-khwaam-yʉ̂ʉt
โต้คลื่น,tôo-khlʉ̂ʉn
โต้คารม,tôo-khaa-rom
ต้อแก้วตา,tɔ̂ɔ-kɛ̂ɛw-taa
ต่อกัน,tɔ̀ɔ-kan
ตอก,tɔ̀ɔk
ต่อหัว,tɔ̀ɔ-hǔa
ต้อหิน,tɔ̂ɔ-hǐn
ต่อให้,tɔ̀ɔ-hây
ต่อจากนี้,tɔ̀ɔ-càak-níi
ต่อจากนั้น,tɔ̀ɔ-càak-nán
ต่ออายุ,tɔ̀ɔ-aa-yú
ต่อ,tɔ̀ɔ
ต้อ,tɔ̂ɔ
ตอ,tɔɔ
โต้,tôo
โต,too
ต้นตระกูล,tôn-trà-kuun
ต้นตอ,tôn-tɔɔ
ต้นทุน,tôn-thun
ต้นทาง,tôn-thaaŋ
ต้นตำรับ,tôn-tam-ràp
ต้นตาล,tôn-taan
ต้นสน,tôn-sǒn
ต้นเสียง,tôn-sǐaŋ
ต้นไทร,tôn-say
ต้นสังกัด,tôn-sǎŋ-kàt
ต้นสกุล,tôn-sa-kun
ต้นสายปลายเหตุ,tôn-sǎay-plaay-hèet
ต้นเรื่อง,tôn-rʉ̂aŋ
ต้นร้ายปลายดี,tôn-ráay-plaay-dii
ต้นร่าง,tôn-râaŋ
ต้นเรือ,tôn-rʉa
ต้นปี,tôn-pii
ต้นเพลิง,tôn-phləəŋ
ต้นอ่อน,tôn-ɔ̀ɔn
ต้นเงิน,tôn-ŋən
ต้นเงื่อน,tôn-ŋʉ̂an
ต้นน้ำลำธาร,tôn-náam-lam-thaan
ต้นน้ำ,tôn-náam
ต้นมะขาม,tôn-má-khǎam
ต้นไม้ใบหญ้า,tôn-máay-bay-yâa
ต้นไม้,tôn-máay
ต้นหมากรากไม้,tôn-màak-râak-máay
ต้นหมาก,tôn-màak
ต้นมือ,tôn-mʉʉ
ต้นลม,tôn-lom
ต้นกล,tôn-kon
ต้นกล้วย,tôn-klûay
ต้นกล้า,tôn-klâa
ต้นขั้ว,tôn-khûa
ต้นคอ,tôn-khɔɔ
ต้นแขน,tôn-khɛ̌ɛn
ต้นเค้า,tôn-kháw
ต้นขา,tôn-khǎa
ต้นแก้ว,tôn-kɛ̂ɛw
ต้นกำเนิด,tôn-kam-nə̀ət
ต้นเหตุ,tôn-hèet
ต้องโทษ,tɔ̂ŋ-thôot
ต้องธรณีสาร,tɔ̂ŋ-thɔɔ-ra-nii-sǎan
ต่องแต่ง,tɔ̀ŋ-tɛ̀ŋ
ต้องตาต้องใจ,tɔ̂ŋ-taa-tɔ̂ŋ-cay
ต้องตา,tɔ̂ŋ-taa
ต้องสงสัย,tɔ̂ŋ-sǒŋ-sǎy
ต้องประสงค์,tɔ̂ŋ-prà-sǒŋ
ต้องคดี,tɔ̂ŋ-kha-dii
ต้องกัน,tɔ̂ŋ-kan
ต้องการ,tɔ̂ŋ-kaan
ต้องห้าม,tɔ̂ŋ-hâam
ตงฉิน,toŋ-chǐn
ต้องใจ,tɔ̂ŋ-cay
ต้อง,tɔ̂ŋ
ต๋ง,tǒŋ
ตง,toŋ
ตนเอง,ton-eeŋ
ต้นเดือน,tôn-dʉan
ต้นชนดอก,tôn-chon-dɔ̀ɔk
ต้นฉบับ,tôn-cha-bàp
ต้นบท,tôn-bòt
ต้นแบบ,tôn-bɛ̀ɛp
ต้น,tôn
ตน,ton
ต้มยำ,tôm-yam
โต๊ะหมู่บูชา,tó-mùu-buu-chaa
โต๊ะหมู่,tó-mùu
ต้มตุ๋น,tôm-tǔn
ต่อมทอนซิล,tɔ̀m-thɔɔn-sin
ต่อมไทรอยด์,tɔ̀m-thay-rɔɔy
ต่อมใต้สมอง,tɔ̀m-tâay-sa-mɔ̌ɔŋ
ต้มส้ม,tôm-sôm
ต้มเปรต,tôm-prèet
ต้มปลาร้า,tôm-plaa-ráa
ต้มเปอะ,tôm-pə̀
ต่อมน้ำเหลือง,tɔ̀m-náam-lʉ̌aŋ
ต่อมน้ำ,tɔ̀m-náam
ต่อมหมวกไต,tɔ̀m-mùak-tay
ต่อมโลหิต,tɔ̀m-loo-hìt
ต้มโคล้ง,tôm-khlôoŋ
ต้มเค็ม,tôm-khem
ต้มข่า,tôm-khàa
ต้มจืด,tôm-cʉ̀ʉt
ต่อม,tɔ̀m
ต๋อม,tɔ̌m
ต้ม,tôm
ตม,tom
